Sale_ID,Product_ID,Customer_ID,Date,Quantity,Sale_Price,Channel,Campaign_ID
1,197,2001,2024-07-25,3,270.16,Online,
2,116,2001,2023-06-29,4,161.44,Social,
3,117,2001,2023-06-14,5,214.01,Online,
4,161,2001,2023-01-10,5,233.25,Online,
5,169,2001,2022-12-24,2,105.46,In-Store,
6,157,2001,2023-05-08,1,140.43,In-Store,150.0
7,139,2001,2022-12-24,4,162.16,Online,69.0
8,166,2001,2024-02-21,3,151.16,In-Store,
9,179,2001,2025-10-16,2,69.62,In-Store,
10,117,2001,2023-07-03,5,214.01,Online,
11,159,2001,2025-07-13,4,21.52,Online,
12,132,2001,2023-08-07,4,146.35,In-Store,
13,162,2001,2025-07-13,5,23.29,Social,
14,147,2001,2022-06-18,4,193.11,In-Store,
15,145,2001,2024-08-07,4,87.44,Social,
16,185,2001,2022-10-06,2,143.79,Online,
17,165,2001,2024-06-29,2,213.33,Online,107.0
18,118,2001,2022-09-21,3,128.58,Online,
19,175,2001,2025-05-31,1,285.32,TV,
20,125,2001,2022-12-28,4,25.35,Online,
21,113,2001,2025-09-23,1,122.3,Social,39.0
22,124,2002,2024-09-09,3,174.26,Online,
23,170,2002,2025-06-23,2,124.94,In-Store,184.0
24,113,2002,2024-09-12,1,122.3,Online,
25,121,2002,2024-10-11,1,126.42,Online,
26,143,2002,2023-11-15,2,18.47,In-Store,
27,130,2002,2025-05-01,2,117.61,Online,
28,165,2002,2025-04-09,4,213.33,In-Store,
29,168,2002,2025-09-23,2,151.07,Online,
30,130,2002,2025-03-03,3,117.61,Online,
31,182,2002,2025-01-10,5,73.37,Social,157.0
32,163,2002,2025-04-01,5,115.65,Social,144.0
33,141,2002,2024-10-15,1,75.02,Online,
34,191,2002,2024-01-02,2,196.98,Online,
35,122,2002,2024-01-24,1,224.2,In-Store,116.0
36,178,2002,2024-05-01,1,58.92,Online,
37,193,2002,2025-04-11,4,28.68,Online,183.0
38,191,2002,2025-07-26,2,196.98,Online,
39,183,2002,2024-05-29,5,127.82,In-Store,
40,181,2002,2024-09-20,3,231.25,Online,
41,142,2002,2025-03-30,4,298.93,Online,
42,196,2002,2025-12-21,3,162.21,Online,
43,199,2002,2024-07-26,1,105.38,Online,
44,110,2002,2024-03-23,2,138.19,In-Store,
45,122,2002,2024-04-01,2,224.2,Online,
46,109,2002,2024-08-24,4,69.39,Online,
47,136,2002,2025-05-02,3,134.23,TV,
48,133,2002,2025-01-06,2,129.42,Online,63.0
49,103,2002,2023-10-30,4,74.85,In-Store,
50,181,2002,2024-08-27,5,231.25,TV,
51,158,2002,2025-09-26,3,132.56,TV,
52,154,2002,2025-05-14,5,39.53,In-Store,
53,181,2002,2024-09-15,4,231.25,Email,154.0
54,108,2002,2025-04-21,1,127.37,Online,
55,157,2002,2025-01-03,3,140.43,Online,
56,104,2002,2025-05-24,3,50.25,Online,76.0
57,149,2002,2025-01-03,1,64.92,TV,97.0
58,133,2002,2025-02-18,5,129.42,Online,71.0
59,185,2003,2025-04-18,4,143.79,Online,
60,129,2003,2024-08-29,3,269.37,TV,
61,197,2003,2023-07-23,4,270.16,In-Store,53.0
62,140,2003,2025-07-19,4,139.7,In-Store,179.0
63,120,2003,2023-07-20,3,186.86,Online,
64,139,2003,2024-12-11,5,162.16,In-Store,29.0
65,107,2003,2025-05-12,3,110.76,Online,
66,129,2003,2023-11-01,4,269.37,Online,
67,108,2003,2024-10-04,3,127.37,Online,
68,132,2003,2024-04-28,1,146.35,Online,
69,157,2003,2025-09-18,3,140.43,Online,
70,102,2003,2024-06-09,3,175.2,Online,
71,113,2003,2025-02-03,5,122.3,Online,71.0
72,186,2003,2025-09-25,1,29.78,Online,
73,144,2003,2023-03-01,2,22.73,In-Store,
74,105,2003,2025-08-26,2,45.85,Online,
75,132,2003,2025-02-02,3,146.35,Online,71.0
76,183,2003,2023-07-01,2,127.82,In-Store,
77,147,2003,2024-01-02,3,193.11,Social,
78,140,2003,2024-10-02,3,139.7,Online,
79,157,2003,2023-11-15,5,140.43,Online,
80,126,2004,2024-12-30,1,62.9,Online,
81,123,2004,2025-02-06,1,28.54,Social,
82,160,2004,2024-12-10,3,74.86,In-Store,
83,106,2004,2024-12-28,3,41.44,Social,
84,108,2004,2025-01-13,3,127.37,In-Store,196.0
85,108,2004,2024-12-30,2,127.37,Email,70.0
86,155,2004,2025-01-12,1,71.21,Email,
87,197,2005,2025-06-08,4,270.16,Social,
88,151,2005,2025-05-18,3,170.44,Online,
89,108,2005,2025-01-15,2,127.37,In-Store,196.0
90,197,2005,2025-01-02,1,270.16,Online,
91,142,2005,2024-09-24,4,298.93,In-Store,101.0
92,181,2005,2024-09-20,5,231.25,In-Store,101.0
93,190,2005,2025-02-16,3,121.42,In-Store,
94,131,2005,2024-10-06,2,76.52,In-Store,101.0
95,140,2005,2025-05-27,2,139.7,Social,
96,162,2005,2025-05-24,5,23.29,In-Store,
97,153,2005,2025-11-01,1,44.91,Social,
98,191,2005,2025-11-25,2,196.98,TV,16.0
99,116,2005,2025-12-04,1,161.44,Email,
100,148,2005,2025-10-01,5,47.75,Online,
101,168,2005,2024-09-19,3,151.07,TV,
102,190,2005,2025-11-10,1,121.42,In-Store,160.0
103,151,2005,2025-09-22,2,170.44,Online,
104,171,2006,2024-07-10,1,117.28,Online,107.0
105,138,2006,2023-12-22,4,115.15,Online,
106,149,2006,2024-05-21,3,64.92,In-Store,
107,182,2006,2024-04-16,2,73.37,In-Store,
108,167,2006,2025-02-08,4,75.91,Online,71.0
109,172,2006,2024-11-19,4,75.03,Email,
110,194,2006,2024-05-23,1,70.1,TV,
111,146,2006,2023-11-28,1,28.76,Online,
112,173,2006,2024-06-14,1,100.75,Online,82.0
113,136,2006,2024-10-24,1,134.23,In-Store,
